Corpus,Method,Silhouette,Davies_Bouldin,Calinski_Harabasz
AMAZON,Kmeans,0.30586286955621056,1.1809776280033122,14.04191776864205
AMAZON,Spectral,0.3039735659440008,1.0449310757541168,13.266007716037063
AMAZON,Ward,0.22575556071408664,1.0803504063139178,11.831710329455094
BBC,Kmeans,0.23294853318341674,1.2603890501638928,7.846767137558619
BBC,Spectral,0.21848231232473983,1.3059704895593462,6.25140134433254
BBC,Ward,0.1969673941418895,1.294721203643826,7.397304189516335
REUTERS,Kmeans,0.3011539686193061,1.124769497693237,11.311056115826556
REUTERS,Spectral,0.2539367495886067,1.1508839057841547,7.486906922223237
REUTERS,Ward,0.23776100139981174,1.1221670391875196,10.028622564861427
